"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2028414","Residential Detached","S","10927 155 STREET","Fraser Heights","1995","House/Single Family","21","North Surrey","Surrey","7/26/2016","Touchbase please","3","$4,339.84","1/26/2016","019-155-603",,,"1/29/2016","$965,000","$289.79","1.07","4","6","RF","$900,000","3","3,330","$289.79","1.07","House/Single Family"
"R2028179","Residential Detached","S","8399 10TH AVENUE","East Burnaby","1956","House/Single Family","60","Burnaby East","Burnaby","5/31/2016","DON KENNEDY","1","$3,883.70","1/25/2016","010-039-155",,,"2/1/2016","$968,200","$416.79","1.01","1","3","R3","$958,000","7","2,323","$416.79","1.01","House/Single Family"
"R2027470","Residential Detached","S","24288 40 AVENUE","Salmon River","1969","House/Single Family","47","Langley","Langley","7/31/2016","Hollie","2","$3,026.39","1/22/2016","009-437-711",,,"1/29/2016","$970,000","$463.45","0.99","3","4","RU-1","$979,000","7","2,093","$463.45","0.99","House/Single Family"
"R2028208","Residential Detached","S","1037 GATENSBURY ROAD","Port Moody Centre","1961","House/Single Family","55","Port Moody","Port Moody","11/24/2016","604-782-0821","2","$3,798.11","1/25/2016","010-405-828",,,"2/1/2016","$970,800","$474.49","1.04","2","4","RS1","$929,800","7","2,046","$474.49","1.04","House/Single Family"
"R2028732","Residential Detached","S","1360 128A STREET","Crescent Bch Ocean Pk.","1972","House/Single Family","44","South Surrey White Rock","Surrey","7/22/2016","Joel","2","$3,595.94","1/22/2016","010-796-967",,,"1/30/2016","$975,000","$545.30","1.00","2","3","RF","$975,000","8","1,788","$545.30","1.00","House/Single Family"
"R2028509","Residential Detached","S","2902 WOODSTONE COURT","Westwood Plateau","1993","House/Single Family","23","Coquitlam","Coquitlam","4/30/2016","DEE","4","$4,258.88","1/25/2016","015-319-245",,,"2/2/2016","$975,000","$243.14","1.02","4","6","SF","$959,900","8","4,010","$243.14","1.02","House/Single Family"
"R2027695","Residential Detached","S","9076 217TH STREET","Walnut Grove","2005","House/Single Family","11","Langley","Langley","6/25/2016","PLS USE TOUCHBASE","3","$4,699.17","1/25/2016","025-939-181",,,"2/1/2016","$975,000","$254.17","1.00","5","5","CD-21","$979,000","7","3,836","$254.17","1.00","House/Single Family"
"R2028158","Residential Attached","S","5 850 W 8TH AVENUE","Fairview VW","2009","Townhouse","7","Vancouver West","Vancouver","6/23/2016","Paul","2","$2,863.63","1/23/2016","028-041-453","3","$375.66","2/1/2016","$976,000","$761.31","1.03","2","2","C-3A","$949,000","9","1,282","$761.31","1.03","Townhouse"
"R2031230","Residential Detached","S","7557 149A STREET","East Newton","1993","House/Single Family","23","Surrey","Surrey","4/1/2016","Touchbase","2","$4,151.35","1/31/2016","008-010-196",,,"2/2/2016","$980,000","$254.55","1.00","4","4","SFD","$980,000","2","3,850","$254.55","1.00","House/Single Family"
"R2027635","Residential Attached","S","408 E 11TH AVENUE","Mount Pleasant VE","2013","Townhouse","3","Vancouver East","Vancouver","5/31/2016","TOUCHBASE OR TONY","2","$2,524.23","1/22/2016","028-983-203",,"$455.68","2/1/2016","$980,000","$692.09","1.09","3","3","C-3A","$899,000","10","1,416","$692.09","1.09","Townhouse"
"R2027781","Residential Detached","S","2448 YANGTZE GATE","Riverwood","1995","House/Single Family","21","Port Coquitlam","Port Coquitlam","4/30/2016","Kelly Richardson","2","$3,786.60","1/25/2016","018-970-168",,,"2/1/2016","$980,000","$464.02","1.20","3","4","RS2","$819,900","7","2,112","$464.02","1.20","House/Single Family"
"R2027559","Residential Detached","S","5435 CANDLEWYCK WYND","Cliff Drive","1979","House/Single Family","37","Tsawwassen","Delta","4/20/2016","LINDA","6","$3,920.49","1/22/2016","001-678-116",,,"1/29/2016","$980,000","$213.04","1.04","6","5","RS1","$938,800","7","4,600","$213.04","1.04","House/Single Family"
"R2029389","Residential Detached","S","2519 CHANNEL COURT","Ranch Park","1973","House/Single Family","43","Coquitlam","Coquitlam","6/28/2016","JEFF PENNINGTON","2","$3,532.61","1/28/2016","001-121-189",,,"2/1/2016","$985,000","$403.03","1.20","2","3","SFD","$818,000","4","2,444","$403.03","1.20","House/Single Family"
"R2024429","Residential Attached","S","104 3873 CATES LANDING WAY","Dollarton","2017","Apartment/Condo","0","North Vancouver","North Vancouver","4/11/2016","SANDRA BUA","2","$0.00","1/11/2016","800-101-804","4","$562.90","1/28/2016","$988,000","$690.43","1.00","2","2","CD-77","$988,000","17","1,431","$690.43","1.00","Apartment/Condo"
"R2028239","Residential Detached","S","11048 155 STREET","Fraser Heights","1995","House/Single Family","21","North Surrey","Surrey","4/30/2016","Dale Redekop","3","$3,713.34","1/26/2016","019-003-790",,,"2/1/2016","$990,000","$342.56","1.10","3","4","SINGF","$899,900","6","2,890","$342.56","1.10","House/Single Family"
"R2026103","Residential Detached","S","19673 71A AVENUE","Willoughby Heights","2005","House/Single Family","11","Langley","Langley","5/31/2016","Monica Dabrowski","4","$5,201.40","1/21/2016","026-280-302",,,"1/31/2016","$999,999","$234.47","1.08","5","6","SFD","$928,888","10","4,265","$234.47","1.08","House/Single Family"
"R2028477","Residential Detached","S","20522 94 AVENUE","Walnut Grove","1989","House/Single Family","27","Langley","Langley","7/26/2016","Sheri","2","$4,910.35","1/26/2016","008-931-887",,,"1/31/2016","$1,000,000","$352.11","1.00","3","4","RES","$999,000","5","2,840","$352.11","1.00","House/Single Family"
"R2028316","Residential Detached","S","20665 93 AVENUE","Walnut Grove","1994","House/Single Family","22","Langley","Langley","4/25/2016","Touchbase Only Please","2","$5,127.20","1/25/2016","018-769-942",,,"2/1/2016","$1,003,000","$365.92","1.18","3","3","R-1C","$849,800","7","2,741","$365.92","1.18","House/Single Family"
"R2030014","Residential Detached","S","3452 150 STREET","Morgan Creek","2004","House/Single Family","12","South Surrey White Rock","Surrey","5/1/2016","PHILIP DUMOULIN","3","$3,899.74","2/1/2016","025-722-069",,,"2/1/2016","$1,007,000","$312.73","1.01","4","4","SFD","$998,800","0","3,220","$312.73","1.01","House/Single Family"
"R2031421","Residential Detached","S","28 24455 61 AVENUE","Salmon River","2016","House/Single Family","0","Langley","Langley","6/30/2016","Clare Player","4","$0.00","2/2/2016","029-514-339",,"$114.49","2/2/2016","$1,014,285","$273.39","0.95","5","4","SR-1","$1,065,000","0","3,710","$273.39","0.95","House/Single Family"
"R2016416","Residential Detached","S","1841 EVERETT ROAD","Abbotsford East","1963","House/Single Family","53","Abbotsford","Abbotsford","5/31/2016","Mike Braun","2","$4,960.00","11/18/2015","010-381-228",,,"1/30/2016","$1,015,000","$317.19","0.92","3","4","RS1","$1,099,000","73","3,200","$317.19","0.86","House/Single Family"
"R2011619","Residential Detached","S","9071 STEVESTON HIGHWAY","South Arm","1980","House/Single Family","36","Richmond","Richmond","4/30/2016","HARRY","2","$3,071.00","10/28/2015","003-283-542",,,"1/29/2016","$1,020,000","$637.50","1.03","2","4","RS1/E","$989,000","55","1,600","$637.50","1.14","House/Single Family"
"R2028400","Residential Detached","S","21585 86 COURT","Walnut Grove","1990","House/Single Family","26","Langley","Langley","6/24/2016","Melodie Coelho","2","$4,728.00","1/24/2016","013-753-886",,,"1/31/2016","$1,028,000","$382.58","1.21","3","4","R-1C","$849,900","7","2,687","$382.58","1.21","House/Single Family"
"R2001564","Land Only","S","4277 W RIVER ROAD","Port Guichon",,,,"Ladner","Delta","5/31/2016","GREG",,"$3,308.00","9/17/2015","009-685-308",,,"2/1/2016","$1,030,000","$151.90","0.87",,,"I 15","$1,188,000","137",,"$151.90","0.87","Other"
"R2001195","Residential Detached","S","11754 84 AVENUE","Scottsdale","2014","House/Single Family","2","N. Delta","Delta","1/31/2016","ROSLYN JAVIER","6","$3,470.00","9/14/2015","028-914-511",,,"1/31/2016","$1,035,000","$259.40","0.96","7","8","RS7","$1,079,000","139","3,990","$259.40","0.96","House/Single Family"
"R2025962","Residential Attached","S","1506 8 SMITHE MEWS","Yaletown","2008","Apartment/Condo","8","Vancouver West","Vancouver","4/18/2016","Matt","2","$2,577.28","1/18/2016","027-735-192",,"$461.88","1/31/2016","$1,038,000","$990.46","1.04","2","2","CD-1","$999,800","0","1,048","$990.46","1.04","Apartment/Condo"
"R2026963","Residential Detached","S","24492 56A AVENUE","Salmon River","1983","House/Single Family","33","Langley","Langley","5/31/2016","Cassandra","0","$4,839.96","1/18/2016","002-770-041",,,"2/1/2016","$1,042,500","$333.71","0.95","0","0","RES","$1,100,000","14","3,124","$333.71","0.95","House/Single Family"
"R2028964","Residential Detached","S","5638 FRIGATE ROAD","Neilsen Grove","1995","House/Single Family","21","Ladner","Delta","6/30/2016","Anne Piche","2","$4,144.08","1/26/2016","018-479-979",,,"1/29/2016","$1,048,000","$626.42","1.00","2","3","CD98A","$1,048,000","3","1,673","$626.42","1.00","House/Single Family"
"R2022440","Residential Attached","S","677 E 59TH AVENUE","South Vancouver","2015","1/2 Duplex","1","Vancouver East","Vancouver","3/18/2016","JIN","3","$4,416.49","1/4/2016","800-101-613",,,"2/2/2016","$1,050,000","$727.65","0.97","3","4","RT-2","$1,088,000","29","1,443","$727.65","0.97","1/2 Duplex"
"R2027792","Residential Detached","S","6739 TODD PLACE","Sunshine Hills Woods","1982","House/Single Family","34","N. Delta","Delta","4/23/2016","Linda or Touchbase","3","$3,941.48","1/22/2016","005-665-353",,,"2/1/2016","$1,050,000","$369.20","1.18","4","5","RS1","$889,000","10","2,844","$369.20","1.18","House/Single Family"
"R2022070","Residential Detached","S","12875 107A AVENUE","Whalley","2007","House/Single Family","9","North Surrey","Surrey","6/30/2016","Kin","5","$5,220.52","1/1/2016","002-181-797",,,"1/31/2016","$1,050,000","$248.64","0.96","7","5","SFD","$1,098,000","30","4,223","$248.64","0.96","House/Single Family"
"R2028002","Residential Detached","S","4938 57 STREET","Hawthorne","1968","House/Single Family","48","Ladner","Delta","5/31/2016","AMY LAMBERT","2","$3,164.86","1/21/2016","000-738-565",,,"2/1/2016","$1,050,000","$538.74","1.14","2","4","RM1","$925,000","11","1,949","$538.74","1.14","House/Single Family"
"R2028097","Residential Detached","S","12725 18A AVENUE","Crescent Bch Ocean Pk.","1981","House/Single Family","35","South Surrey White Rock","Surrey","5/27/2016","Laura","3","$4,009.25","1/24/2016","005-127-718",,,"1/31/2016","$1,050,000","$350.00","1.05","3","6","SURREY","$998,000","7","3,000","$350.00","1.05","House/Single Family"
"R2028679","Residential Detached","S","841 SE MARINE DRIVE","South Vancouver","1969","House/Single Family","47","Vancouver East","Vancouver","12/31/2016","KULDIP","3","$4,300.00","1/25/2016","013-173-260",,,"1/28/2016","$1,060,000","$963.64","1.18","3","6","RS-1","$899,000","3","1,100","$963.64","1.18","House/Single Family"
"R2023270","Residential Detached","S","13064 67A AVENUE","West Newton","2013","House/Single Family","3","Surrey","Surrey","6/30/2016","ROSHA","6","$4,470.00","1/6/2016","003-221-091",,,"1/30/2016","$1,060,000","$260.44","0.98","6","5","SFD","$1,079,000","24","4,070","$260.44","0.98","House/Single Family"
"R2011282","Residential Attached","S","209 4885 VALLEY DRIVE","Quilchena","2005","Apartment/Condo","11","Vancouver West","Vancouver","11/1/2016","TEXT LARRIE OR TOUCHBASE","2","$3,174.74","10/25/2015","026-189-721",,"$381.00","1/28/2016","$1,063,000","$957.66","1.00","2","3","APT","$1,065,000","95","1,110","$957.66","1.00","Apartment/Condo"
"R2029277","Residential Detached","S","14644 18 AVENUE","Sunnyside Park Surrey","1986","House/Single Family","30","South Surrey White Rock","Surrey","4/19/2016","Touchbase Please","2","$3,904.41","1/28/2016","000-902-187",,,"2/2/2016","$1,075,000","$632.35","1.20","2","3","RF","$898,000","5","1,700","$632.35","1.20","House/Single Family"
"R2026836","Residential Detached","S","11311 SCHOONER COURT","Steveston South","1976","House/Single Family","40","Richmond","Richmond","6/20/2016","TOUCHBASE","2","$2,968.80","1/20/2016","003-474-640",,,"1/31/2016","$1,080,000","$463.12","0.95","3","4","LUC15","$1,135,000","11","2,332","$463.12","0.90","House/Single Family"
"R2028016","Residential Attached","S","303 528 BEATTY STREET","Downtown VW","2007","Apartment/Condo","9","Vancouver West","Vancouver","4/30/2016","CHRIS (PREFER TEXT) NO TB","2","$2,679.80","1/25/2016","026-963-272","9","$478.64","2/2/2016","$1,088,000","$847.35","1.00","2","1","HA-2","$1,088,000","8","1,284","$847.35","1.00","Apartment/Condo"
"R2031612","Residential Detached","S","20827 52A AVENUE","Langley City","2016","House/Single Family","0","Langley","Langley","8/31/2016","PJ Cheema","4","$4,323.92","1/28/2016","000-711-179",,,"1/29/2016","$1,090,600","$302.78","0.95","5","5","SFD","$1,148,000","1","3,602","$302.78","0.95","House/Single Family"
"R2027836","Residential Attached","S","5211 LAPWING CRESCENT","Westwind","1975","1/2 Duplex","41","Richmond","Richmond","6/30/2016","ANNE PICHE","2","$2,961.24","1/25/2016","001-298-861",,"$0.00","1/31/2016","$1,099,000","$477.83","1.00","3","5","RD1","$1,098,000","6","2,300","$477.83","1.00","1/2 Duplex"
"R2023329","Residential Detached","S","15841 COLUMBIA AVENUE","White Rock","1985","House/Single Family","31","South Surrey White Rock","White Rock","3/6/2016","LISA SEDLIC","2","$5,466.35","1/6/2016","001-444-115",,,"2/1/2016","$1,099,900","$393.38","1.00","3","3","SF","$1,099,900","26","2,796","$393.38","1.00","House/Single Family"
"R2021824","Residential Attached","S","3366 MT SEYMOUR PARKWAY","Northlands","2013","Townhouse","3","North Vancouver","North Vancouver","6/30/2016","DARCY","2","$5,528.29","12/29/2015","029-053-340","3","$520.66","1/29/2016","$1,099,900","$413.03","1.00","3","4","STRATA","$1,099,900","31","2,663","$413.03","1.00","Townhouse"
"R2025861","Residential Detached","S","10311 SEVILLE PLACE","Steveston North","1973","House/Single Family","43","Richmond","Richmond","3/31/2016","JOHN COULTHARD","3","$3,988.22","1/17/2016","003-862-879",,,"1/28/2016","$1,100,000","$464.92","0.98","3","3","RS1/E","$1,124,900","11","2,366","$464.92","0.98","House/Single Family"
"R2004683","Residential Attached","S","3 5880 HAMPTON PLACE","University VW","1992","Townhouse","24","Vancouver West","Vancouver","1/30/2016","Kelly - NO TEXTS","2","$2,470.67","9/28/2015","017-774-047","2","$415.52","1/28/2016","$1,105,000","$626.77","0.95","3","3","CD","$1,158,000","122","1,763","$626.77","0.92","Townhouse"
"R2028617","Residential Detached","S","941 THERMAL DRIVE","Chineside","1965","House/Single Family","51","Coquitlam","Coquitlam","6/30/2016","BRENT BROWN","2","$4,062.73","1/25/2016","000-798-355",,,"2/2/2016","$1,108,000","$438.81","1.11","3","6","RS1","$998,800","8","2,525","$438.81","1.11","House/Single Family"
"R2028186","Residential Detached","S","1324 NANAIMO STREET","Moody Park","1944","House/Single Family","72","New Westminster","New Westminster","4/30/2016","MICK OR GEOFF","3","$4,512.18","1/25/2016","002-819-155",,,"2/1/2016","$1,110,000","$382.76","1.17","3","4","NR 1","$949,900","7","2,900","$382.76","1.17","House/Single Family"
"R2027758","Residential Attached","S","2403 2055 PENDRELL STREET","West End VW","1965","Apartment/Condo","51","Vancouver West","Vancouver","5/31/2016","STEPHEN BURKE","2","$1,684.00","1/22/2016","800-102-200","25","$549.08","2/2/2016","$1,110,000","$1,021.16","1.06","2","2","RM-5B","$1,050,000","11","1,087","$1,021.16","1.06","Apartment/Condo"
"R2026803","Residential Detached","S","7466 MAIN STREET","South Vancouver","1951","House/Single Family","65","Vancouver East","Vancouver","5/18/2016","ROBIN ARORA","2","$3,702.57","1/18/2016","013-967-827",,,"1/31/2016","$1,112,000","$737.89","0.97","2","4","RT-2","$1,148,800","13","1,507","$737.89","0.97","House/Single Family"
"R2021789","Residential Detached","S","6099 132 STREET","Panorama Ridge","2010","House/Single Family","6","Surrey","Surrey","7/30/2016","Chamkaur Singh Gill","7","$4,484.42","12/28/2015","028-104-196",,,"1/30/2016","$1,121,000","$195.67","0.99","8","7","SFD","$1,129,999","33","5,729","$195.67","0.99","House/Single Family"
"R2027914","Residential Detached","S","585 GARROW DRIVE","Glenayre","1967","House/Single Family","49","Port Moody","Port Moody","4/22/2016","MEGHAN SHAW","3","$4,093.91","1/22/2016","009-133-216",,,"1/31/2016","$1,121,000","$471.40","1.06","3","4","SFD","$1,058,000","9","2,378","$471.40","1.06","House/Single Family"
"R2028350","Residential Detached","S","10173 SHELL ROAD","McNair","1974","House/Single Family","42","Richmond","Richmond","6/30/2016","ANNE PICHE","1","$2,987.38","1/25/2016","003-490-726",,,"1/29/2016","$1,127,000","$957.52","1.06","1","1","RE1","$1,068,000","4","1,177","$957.52","1.06","House/Single Family"
"R2029138","Residential Detached","S","246 E 25TH STREET","Upper Lonsdale","1941","House/Single Family","75","North Vancouver","North Vancouver","4/30/2016","DAWN","3","$3,753.93","1/27/2016","012-099-139",,,"2/1/2016","$1,130,000","$442.27","1.13","3","5","SFD","$999,000","5","2,555","$442.27","1.13","House/Single Family"
"R2028189","Residential Detached","S","618 10TH STREET","Moody Park","1943","House/Single Family","73","New Westminster","New Westminster","7/25/2016","KELLY","2","$4,192.08","1/25/2016","010-788-140",,,"2/2/2016","$1,130,000","$495.83","1.26","2","3","NR-1","$899,000","8","2,279","$495.83","1.26","House/Single Family"
"R2028883","Residential Detached","S","5096 LINDEN DRIVE","Hawthorne","1992","House/Single Family","24","Ladner","Delta","7/25/2016","AMBER OR RACHEL","3","$4,056.00","1/25/2016","017-520-371",,,"2/1/2016","$1,138,000","$482.20","1.06","3","5","RS6","$1,068,800","7","2,360","$482.20","1.06","House/Single Family"
"R2022488","Residential Detached","S","21941 127 AVENUE","West Central","1974","House with Acreage","42","Maple Ridge","Maple Ridge","7/5/2016","JACK GAO","3","$2,301.67","1/5/2016","002-896-249",,,"1/28/2016","$1,140,000","$510.52","0.97","3","4","RS-3","$1,180,000","23","2,233","$510.52","0.97","House with Acreage"
"R2012510","Residential Detached","S","8846 STEGAVIK COURT","Nordel","2015","House/Single Family","1","N. Delta","Delta","6/30/2016","Prab Dhoot","5","$4,903.12","11/6/2015","029-147-841",,,"1/31/2016","$1,145,000","$266.22","0.97","6","6","SFD","$1,185,000","86","4,301","$266.22","0.97","House/Single Family"
"R2027072","Residential Detached","S","562 YALE ROAD","College Park PM","1976","House/Single Family","40","Port Moody","Port Moody","12/30/2016","Sharon","3","$4,178.25","1/21/2016","002-182-157",,,"2/2/2016","$1,150,000","$445.74","1.21","3","4","RES","$950,000","12","2,580","$445.74","1.21","House/Single Family"
"R2027994","Residential Detached","S","1590 ARCHIBALD ROAD","White Rock","1967","House/Single Family","49","South Surrey White Rock","White Rock","4/22/2016","Kevin Hou PREC*","1","$4,277.37","1/22/2016","009-832-301",,,"2/2/2016","$1,150,000","$457.26","0.97","3","5","RS-1","$1,188,888","11","2,515","$457.26","0.97","House/Single Family"
"R2018303","Residential Detached","S","10379 248 STREET","Albion","2006","House/Single Family","10","Maple Ridge","Maple Ridge","9/14/2016","ROB JEEVES/TOUCHBASE","4","$8,121.41","12/1/2015","026-283-123",,,"1/29/2016","$1,150,000","$222.18","0.97","5","5","SRS","$1,188,000","59","5,176","$222.18","0.97","House/Single Family"
"R2028155","Residential Detached","S","326 ARBUTUS STREET","Queens Park","1950","House/Single Family","66","New Westminster","New Westminster","4/25/2016","PLS NO TXT. TB ONLY","1","$4,471.51","1/25/2016","000-444-375",,,"2/2/2016","$1,155,500","$782.86","1.29","2","3","RS1","$899,000","8","1,476","$782.86","1.29","House/Single Family"
"R2027940","Residential Detached","S","15480 111 AVENUE","Fraser Heights","2009","House/Single Family","7","North Surrey","Surrey","6/30/2016","Kelvin Wang","4","$4,114.09","1/22/2016","027-093-280",,,"1/30/2016","$1,160,000","$375.16","1.00","5","5","SFR","$1,158,000","8","3,092","$375.16","1.00","House/Single Family"
"R2019999","Residential Attached","S","135 ALEXANDER STREET","Downtown VE","1996","Townhouse","20","Vancouver East","Vancouver","6/30/2016","Phil (NO TOUCHBASE)","2","$2,657.77","12/9/2015","023-066-822","4","$340.00","1/31/2016","$1,165,000","$615.10","0.97","2","2","HA-2","$1,198,000","53","1,894","$615.10","0.97","Townhouse"
"R2028902","Residential Detached","S","2160 KUGLER AVENUE","Central Coquitlam","1958","House/Single Family","58","Coquitlam","Coquitlam","4/20/2016","ASHLEY","2","$4,142.25","1/26/2016","010-370-838",,,"2/1/2016","$1,167,000","$583.50","1.17","2","3","R","$998,000","6","2,000","$583.50","1.17","House/Single Family"
"R2025837","Residential Detached","S","1137 RENFREW STREET","Renfrew VE","1929","House/Single Family","87","Vancouver East","Vancouver","7/18/2016","SHIRLEY DANG-KRAMER","1","$3,611.48","1/18/2016","010-381-015",,,"1/30/2016","$1,170,000","$952.77","0.98","1","1","RS-1","$1,199,000","12","1,228","$952.77","0.98","House/Single Family"
"R2023255","Residential Attached","S","403 590 NICOLA STREET","Coal Harbour","2003","Apartment/Condo","13","Vancouver West","Vancouver","4/5/2016","YORI","1","$3,662.63","1/5/2016","025-754-921","25","$775.71","1/30/2016","$1,172,000","$981.57","0.94","2","1","CD-1","$1,248,000","25","1,194","$981.57","0.94","Apartment/Condo"
"R2027240","Residential Detached","S","1551 RIDGEWAY AVENUE","Central Lonsdale","1987","House/Single Family","29","North Vancouver","North Vancouver","4/21/2016","AARON, JORDAN OR MATT","2","$3,900.94","1/21/2016","005-139-732",,,"1/28/2016","$1,175,000","$924.47","0.98","2","3","RS-1","$1,198,000","7","1,271","$924.47","0.98","House/Single Family"
"R2027959","Residential Detached","S","4212 PERRY STREET","Victoria VE","1910","House/Single Family","106","Vancouver East","Vancouver","5/30/2016","TEXT HAYDN","1","$3,488.02","1/25/2016","014-007-941",,,"2/1/2016","$1,175,000","$550.35","1.18","1","3","RM-1","$998,000","7","2,135","$550.35","1.18","House/Single Family"
"R2027726","Residential Detached","S","7421 BROADWAY","Montecito","1961","House/Single Family","55","Burnaby North","Burnaby","6/27/2016","LISA BORSATO","1","$4,465.56","1/25/2016","002-486-482",,,"2/1/2016","$1,175,800","$442.53","1.02","1","2","R2","$1,148,800","7","2,657","$442.53","1.02","House/Single Family"
"R2028041","Residential Attached","S","6259 LOCHDALE STREET","Parkcrest","1969","1/2 Duplex","47","Burnaby North","Burnaby","5/23/2016","CATHY CHIN/BARRY PLAYER","2","$4,019.47","1/24/2016","026-873-869",,"$0.00","2/2/2016","$1,180,000","$496.22","1.12","3","5","R-4","$1,050,000","9","2,378","$496.22","1.12","1/2 Duplex"
"R2028278","Residential Detached","S","11300 MERCHANTMAN PLACE","Steveston South","1977","House/Single Family","39","Richmond","Richmond","6/30/2016","JENNIFER","2","$3,313.84","1/25/2016","003-626-288",,,"2/2/2016","$1,180,000","$556.87","1.02","3","4","015","$1,152,000","8","2,119","$556.87","1.02","House/Single Family"
"R2029533","Residential Attached","S","299 COLUMBIA STREET","Downtown VE","2007","Apartment/Condo","9","Vancouver East","Vancouver","12/30/2016","JUDY","0","$11,277.27","1/28/2016","026-805-375","6","$393.62","1/30/2016","$1,180,000","$871.49","0.98","1","0","HA-2","$1,198,000","2","1,354","$871.49","0.98","Apartment/Condo"
"R2022595","Residential Detached","S","4673 204A STREET","Langley City","2003","House/Single Family","13","Langley","Langley","7/5/2016","Touchbase only","3","$6,349.41","1/5/2016","024-960-861",,,"1/28/2016","$1,180,000","$295.00","0.99","4","6","RS2","$1,189,000","23","4,000","$295.00","0.99","House/Single Family"
"R2029929","Residential Attached","S","PH 1 7928 YUKON STREET","Marpole","2017","Apartment/Condo","0","Vancouver West","Vancouver","3/28/2016","CELIA CHIU","2",,"1/28/2016","800-102-355","4","$396.11","1/29/2016","$1,188,800","$913.06","1.00","2","3","RM-9","$1,188,800","1","1,302","$913.06","1.00","Apartment/Condo"
"R2025820","Residential Attached","S","1601 5775 HAMPTON PLACE","University VW","1995","Apartment/Condo","21","Vancouver West","Vancouver","5/31/2016","PETER OR SUSAN","2","$3,386.86","1/15/2016","019-148-305","20","$646.79","1/28/2016","$1,198,000","$757.75","1.00","2","2","MF","$1,198,000","13","1,581","$757.75","1.00","Apartment/Condo"
"R2014216","Residential Attached","S","2 338 W 64TH AVENUE","Marpole","2017","Townhouse","0","Vancouver West","Vancouver","3/12/2016","CELIA CHIU","2","$0.00","11/7/2015","029-657-580",,"$300.57","1/31/2016","$1,198,800","$723.04","1.00","3","3","RM-9","$1,198,800","85","1,658","$723.04","1.01","Townhouse"
"R2026343","Residential Detached","S","115 E 26TH STREET","Upper Lonsdale","1967","House/Single Family","49","North Vancouver","North Vancouver","4/30/2016","LEO LIU","2","$3,814.48","1/18/2016","012-972-631",,,"2/1/2016","$1,200,000","$529.33","1.20","2","4","RS1","$1,000,000","14","2,267","$529.33","1.20","House/Single Family"
"R2028653","Residential Detached","S","740 E KEITH ROAD","Calverhall","1949","House/Single Family","67","North Vancouver","North Vancouver","6/26/2016","Sara","2","$6,064.30","1/26/2016","014-265-508",,,"2/1/2016","$1,200,000","$626.96","1.14","2","4","RS1","$1,050,000","6","1,914","$626.96","1.14","House/Single Family"
"R2028257","Residential Attached","S","10 3591 GRANVILLE AVENUE","Terra Nova","1998","Townhouse","18","Richmond","Richmond","5/31/2016","TB or Alison Valcamp","2","$3,635.67","1/25/2016","024-143-065",,"$402.85","1/31/2016","$1,200,000","$580.83","1.10","3","3","MULTI","$1,088,000","6","2,066","$580.83","1.10","Townhouse"
"V1136289","Residential Attached","S","751 W 42ND AVENUE","Oakridge VW","2006","Townhouse","10","Vancouver West","Vancouver","2/29/2016","CHERRY XU","2","$3,892.00","7/23/2015","026-843-404",,"$441.61","1/30/2016","$1,200,000","$752.82","0.97","2","3","CD-1","$1,238,000","191","1,594","$752.82","0.95","Townhouse"
"R2028730","Residential Detached","S","15434 VICTORIA AVENUE","White Rock","9999","House/Single Family","999","South Surrey White Rock","White Rock","6/30/2016","Gary McGratten PREC*","1","$4,781.00","1/26/2016","008-764-638",,,"1/28/2016","$1,200,000","$1,589.40","0.92","1","1","RS-3","$1,300,000","2","755","$1,589.40","0.92","House/Single Family"
"R2029605","Residential Attached","S","4 651 W 14TH STREET","Hamilton","2013","1/2 Duplex","3","North Vancouver","North Vancouver","7/27/2016","Maria","3","$4,364.09","1/27/2016","029-281-431",,"$208.42","1/30/2016","$1,200,000","$511.73","0.96","4","4","CD-570","$1,248,800","3","2,345","$511.73","0.96","1/2 Duplex"
"R2013570","Residential Detached","S","7058 ROYAL OAK AVENUE","Metrotown","1920","House/Single Family","96","Burnaby South","Burnaby","11/6/2016","David Liu","1","$3,949.49","11/5/2015","011-857-439",,,"2/1/2016","$1,200,000","$641.37","0.92","1","2","R-5","$1,300,000","88","1,871","$641.37","0.92","House/Single Family"
"R2027844","Residential Detached","S","623 WESTLEY AVENUE","Coquitlam West","1962","House/Single Family","54","Coquitlam","Coquitlam","6/30/2016","LES REIMER","2","$4,121.58","1/25/2016","009-128-026",,,"1/31/2016","$1,201,000","$500.83","1.35","3","4","RS-1","$888,000","6","2,398","$500.83","1.35","House/Single Family"
"R2026895","Residential Detached","S","2129 MONTEREY AVENUE","Central Coquitlam","1961","House/Single Family","55","Coquitlam","Coquitlam","3/30/2016","NIC","1","$3,514.60","1/20/2016","009-108-882",,,"2/2/2016","$1,205,000","$920.55","1.22","2","3","RS-1","$989,000","13","1,309","$920.55","1.22","House/Single Family"
