"ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Total Baths","Zoning","List Price","Lot Sz (Acres)","Region","# of Kitchens","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Adjustment Date","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","City","Class","Collapse Date","Confirm Sold Date","Days On MLS","Depth","Development Permit?","Expiry Date","Fireplaces","Floor Area -Grand Total","Floor Area Fin - Basement","Foundation","Gross Taxes","How Sold","Income As At Date","Income Per Annum","Include in DDF (Y/N)","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","Parking Places - Total","Potential for Rezoning?","Prev Price","Previous Exp Date","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Sale/Rent","Sanitary Sewer","SP/OLP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Tot Units in Strata Plan","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com"
"R2267042","Residential Detached","X","3616 W 15TH AVENUE","Point Grey","93","3","1925","4,026.00","House/Single Family","Vancouver West","014-546-086","V6R 2Z5","33.00",,,,,,,"3","RS-1","$2,899,000","0.09","Greater Vancouver","1",,,,,"93",,"778-788-8618",,,,"1","2",,,,,"Vancouver","Residential Detached",,,,"122",,"8/10/2018","2","2,530","1,014","Concrete Perimeter","$7,308.40",,,,"Yes",,,,"8/11/2018",,"5/10/2018",,,,"3",,,,"$0",,,"BC","Located in desirable Point Grey. Breathtaking VIEWS of water, city & North Shore mountains. A substantially updated and well maintained home with 3 bedrooms & 3 baths. This house is very livable and is perfect for the family who wants to move into the Lord Byng & Queen Elizabeth School Catchment. Houses in the neighborhood are in high demand. PERFECT TO LIVE IN OR RENT AND HOLD.","EASY TO SHOW! Measurements and age are approximate and to be verified by the buyers if deemed important.","For Sale",,,"8/11/2018",,,,,"Freehold NonStrata",,,,,
"R2256869","Residential Detached","T","38 N GAMMA AVENUE","Capitol Hill BN","124","6","2017","6,762.00","House/Single Family","Burnaby North","004-529-596","V5C 1X7","58.00",,,,,,,"6","R5","$2,925,000","0.16","Greater Vancouver","2",,,,,"1",,"778-896-7266",,,,"2","4",,,,,"Burnaby","Residential Detached",,,,"116.58",,"8/14/2018","2","4,080","0","Concrete Perimeter","$7,372.94",,,,"Yes",,,,"8/14/2018",,"4/11/2018",,,,"3",,"6",,"$3,100,000","9/30/2018",,"BC","Architecturally designed custom home situated across from confederation park in prestigious capitol hills! Mediterranean style 2 level + bsmt 6bed/6bath home invites you into WESTORA builders exquisite masterpiece! Greeted by a grand foyer lined w/ custom statuary marble tiles, opens onto a formal living space with 10ft+ceilings and exposed post and beam sep. By arch entry to the formal dining area and chef inspired gourmet kitchen highlighted by espresso maple cabinets+ bethel white granite countertops + bonus WOK kitchen. Open concept plan, exceptional quality and design are evident w/each room, hand crafted millwork, handpicked imported fixtures, carrara marble used throughout. Private yard + patio 2-5-10yr. Bring all offers. NO GST!!! ","Buyer/buyers to verify all information and measurement. *Measurements via draft on site. *Please allow 24 hours notice for showing. **MOTIVATED SELLER BRING ALL OFFERS***","For Sale",,,"8/14/2018",,,,,"Freehold NonStrata",,,,,
"R2265461","Residential Detached","X","5445 FLEMING STREET","Knight","104","7","2010","6,016.00","House/Single Family","Vancouver East","014-323-915","V5P 3E8","49.50",,,,,,,"7","RS-1","$2,968,000","0.14","Greater Vancouver","2",,,,,"8",,"604-377-3008",,,,"3","4",,,,,"Vancouver","Residential Detached",,,,"121.53",,"8/15/2018","2","4,108","0","Concrete Perimeter","$7,690.97",,,,"Yes",,,,"8/16/2018",,"5/4/2018",,,,"3",,"5",,"$0",,,"BC","Central location! Superior quality built home in a family oriented neighbourhood, this 3 level deluxe home sits on 49.5 x 121.53 lot features open concept, spacious main level, high ceiling, marble flooring, air-conditioning , HRV, crown moulding, sound proof flooring and much more...separate entrance 2+1 bedroom suites, walking distance to Kensington Community Centre, Victoria Drive shopping, restaurant, transit and schools. All sizes and ages are approx. only. The Buyer should not rely upon the listing information without the Buyer independently verifying the information. Don't miss out! Call for viewing!","Please text for showing, Monday-Friday after 4:30pm, Saturday & Sunday anytime, 24 hrs notice. All measurement are approximate, buyer to verify if important.","For Sale",,,"8/16/2018",,,,,"Freehold NonStrata",,,,,
"R2277145","Residential Detached","T","4624 W 6TH AVENUE","Point Grey","70","3","1977","3,717.00","House/Single Family","Vancouver West","010-498-800","V6R 1V7","33.00",,,,,,,"3","RS-1","$2,969,000","0.09","Greater Vancouver","1",,,,,"41",,"604-312-1266",,,,"0","3",,,,,"Vancouver","Residential Detached",,,,"112.65",,"8/15/2018","2","2,011","0","Concrete Perimeter","$9,211.57",,,,"Yes",,,,"8/15/2018",,"6/6/2018",,,,"2",,"2",,"$3,100,000","9/6/2018",,"BC","Great location! Enjoy this lovely 3 Bedroom West Coast contemporary home, set on a quiet tree lined street in Point Grey. Open concept living on main floor with french doors leading to a private south facing patio. Large principle rooms with vaulted ceilings in the Living-Room. The Kitchen is inviting with an eating area.  Decorated with a warm Mediterranean vibe or/ revive to its original retro glory. Great bones and floor plan; easy to live in. This is a home with great potential, not to be overlooked. Closest off-campus neighbourhood to UBC. Note - office is next to garage.","Note: Flex Room is next to garage.  East Wall Rain screened and extensive updates in 2000. ","For Sale",,,"8/15/2018",,,,,"Freehold NonStrata",,,,,
"R2269071","Residential Detached","T","1315 LAWSON AVENUE","Ambleside","89","4","1969","8,540.00","House/Single Family","West Vancouver","008-889-546","V7T 2E6","70.00",,,,,,,"3","SFD","$2,980,000","0.20","Greater Vancouver","1",,,,,"49",,"604-782-5782",,,,"0","4",,,,,"West Vancouver","Residential Detached",,,,"122.00",,"8/13/2018","2","2,043","0","Concrete Perimeter","$7,372.11",,,,"Yes",,,,"8/13/2018",,"5/16/2018",,,,"2",,"6",,"$0","12/20/2018",,"BC","A large private lot, maintain good family house, upgraded new kitchen, painting. Close to Ridgeview Elementary School, one of the top school in Great Vancouver. Inside features immaculate original hardwood floors and an open floor plan.","Rented. Out of Market.","For Sale",,,"8/13/2018",,,,,"Freehold NonStrata",,,,,"Yes"
"R2278440","Residential Attached","C","108 8 SMITHE MEWS","Yaletown","66","2","2009","0.00","Townhouse","Vancouver West","027-734-692","V6B 0A5","0.00",,,,,,,"3","MFD","$2,980,000","0.00","Greater Vancouver","1",,,,,"9",,"604-617-5852",,,,"0","2",,,,,"Vancouver","Residential Attached",,,,,,"10/30/2018","1","1,705","0","Concrete Perimeter","$4,473.00",,,,"Yes",,,,"8/16/2018",,"6/11/2018",,,,"2",,"2",,"$0",,,"BC","Waterfront Living at Flagship! 2 bedroom and den with 2.5 bathrooms offering two level living. Beautiful water views of False Creek & Cooper's Park are enjoyed from your own spacious outdoor areas.This stunning concrete townhouse features engineered hardwood floors, open European kitchen with Quartz countertops and SubZero Miele appliances perfect for entertaining. Upstairs a spacious master bdrm  with a 5 piece ensuite and a second bdrm with its own ensuite have access to a balcony overlooking the beautiful views. Enjoy the concierge service & membership to the Esprit City Club 60' indoor pool, steam room & sauna, fitness, billiards, multi-purpose room w/kitchen, 2 lane 10 pin bowling alley & fleet of kayaks. Must see","Measurements by Measuremaster. Total square footage from Strata Plan. By appointment only. Parking #109 and #110 (side by side). Storage #20. Sellers are related to listing agent.","For Sale",,,"8/16/2018",,"24",,"$762.28","Freehold Strata",,,,,
"R2286947","Residential Detached","C","1555 ROCKCRESS PLACE","Westwood Plateau","41","5","1995","18,082.00","House/Single Family","Coquitlam","018-203-523","V3E 2Y1","0.00",,,,,,,"6","RES","$2,988,000","0.42","Greater Vancouver","1",,,,,"23",,"604-818-8008","2004",,,"0","5",,,,,"Coquitlam","Residential Detached",,,,,,"9/10/2018","3","6,451","0","Concrete Perimeter","$9,521.22",,,,"Yes",,,,"8/15/2018",,"7/5/2018",,,,"3",,,,"$0",,,"BC","Impeccably maintained luxury residence nestled in one of the most desirable cul-de-sac. This open concept floor plan boasts a grandiose 20 ft ceiling in living room, a chef's top of the line kitchen with hidden pantry, room to room intercom. Laundry chute... and so much more. Accordion patio doors open out to a nearly 800 sq ft covered deck to enjoy the priceless view or watch friends/family on your own full size sports/tennis court in the private park-like yard. You will fall in love with this showhome- like sanctuary!","Seller is a licensed Realtor. Please allow 24 hours notice for showings. No Touchbase Please.","For Sale",,,"8/15/2018",,,,,"Freehold NonStrata",,,,,
"R2271481","Residential Detached","C","2110 ROSEBERY AVENUE","Queens","87","4","1966","9,100.00","House/Single Family","West Vancouver","005-208-084","V7V 2Z7","70.00",,,,,,,"3","RS3","$2,988,000","0.21","Greater Vancouver","1",,,,,"52",,"604-999-8899",,,,"0","4",,,,,"West Vancouver","Residential Detached",,,,"130",,"8/31/2018","2","3,971","0","Concrete Perimeter","$8,593.74",,,,"Yes",,,,"8/17/2018",,"5/22/2018",,,,"2",,"4",,"$0",,,"BC","Well maintained 2 level home situated at the end of a cul-de-sac on a beautiful 70 x 130 property in Upper Dundarave/Queens! This home features lovely ocean views, formal living & dining rooms, hardwood floors, main floor master bedroom, updated kitchen with eating area that opens onto a large sun-deck overlooking the ocean, city and a gleaming pool surrounded in privacy by mature foliage & grassy yard. Lower level features a lg rec room w/French doors to the backyard and 3 additional bedrooms & 929 sq ft unfinished storage. Lane way access to the double garage. Outstanding location with easy access to down town, Dundarave and Ambleside Village’s, Park Royal shopping, the Seawalk, recreation Centre, Irwin Park and West Van High. Same owner for over 35 years.  PRICED BELOW ASSESSED !  ","The Buyer is aware that all measurements; square footage, lot size, dimensions and age of the home are approximate & not guaranteed. If important, they should be verified by the Buyer (s) to their satisfaction. PRICED BELOW ASSESSED VALUE!","For Sale",,,"8/17/2018",,,,,"Freehold NonStrata",,,,,
"R2278729","Residential Detached","C","8131 MINLER ROAD","Woodwards","60","5","2009","8,157.00","House with Acreage","Richmond","010-122-206","V7C 3T8","66.00",,,,,,,"6","RS1/E","$2,990,000","0.19","Greater Vancouver","3",,,,,"9",,"604-616-3776",,,,"0","5",,,,,"Richmond","Residential Detached",,,,"123.6",,"12/10/2018","2","3,720","0","Concrete Perimeter","$8,974.26",,,,"Yes",,,,"8/10/2018",,"6/11/2018",,,,"2",,"10",,"$0",,,"BC","LOCATION! LOCATION! Desirable location seldom available property backing onto greenbelt of Blundell Park. Quality built by reputable MINLER CUSTOM HOMES! Functional floor plan features 5 bdrms plus den, 5 1/2 baths, wok kitchen, media room, A/C, HRV, H/W floors, crystal chandeliers, top quality appliances, granite floors & counter tops, 3 car garage & more. Steps to Blundell Shopping Plaza, Bundell Elementary, Richmond High & transportation. Easy to show. Call for your private viewing.","All measurements are approximate & to be verified by Buyers.","For Sale",,,"8/10/2018",,,,,"Freehold NonStrata",,,,,
"R2225126","Residential Detached","T","6550 DUNBAR STREET","Southlands","263","4","1969","8,974.00","House/Single Family","Vancouver West","008-737-797","V6N 1X8","135.97",,,,,,,"3","RS-6","$2,990,000","0.21","Greater Vancouver","1",,,,,"49",,"604-782-9028",,,,"0","4",,,,,"Vancouver","Residential Detached",,,,"66",,"8/17/2018","2","2,477","0","Concrete Perimeter","$8,669.49",,,,"Yes",,,,"8/17/2018",,"11/27/2017",,,,"3",,"2",,"$0","11/27/2018",,"BC","Bright and spacious, well laid out split level home on the quiet Dunbar–Southlands neighbourhood, right by the golf course. Tastefully updated interior, including a brightly renovated kitchen with granite counters, radiant heat floors and a skylight.  Updated bathrooms. Very nice livable space for your family. Move in and enjoy, build your dream home on this spacious 66 x 136 lot. Minutes to UBC, golf course, & equestrian centre. Kerrisdale Elementary and Point Grey Secondary school catchment.","All measurements are approximate Buyer to verify if deemed important. Appointment only, at least 24 hours notice.","For Sale",,,"8/17/2018",,,,,"Freehold NonStrata",,,,,
"R2259482","Residential Detached","C","6135 GLENEAGLES DRIVE","Gleneagles","119","4","1961","7,200.00","House/Single Family","West Vancouver","011-009-977","V7W 1W1","90.00",,,,,,,"4","RS4","$2,990,000","0.17","Greater Vancouver","1",,,,,"57",,"778-318-4656","2012",,,"0","4",,,,,"West Vancouver","Residential Detached",,,,"80",,"10/31/2018","0","2,583","0","Concrete Perimeter","$5,506.77",,,,"Yes",,,,"8/17/2018",,"4/20/2018",,,,"2",,"2",,"$0","8/17/2018",,"BC","Rarely Available! Own a gorgeous family home with some of the most vibrant OCEAN VIEWS that West Vancouver has to offer. All major spaces on the main floor and 2 of the bedrooms upstairs including the Master BR have views of ocean. Substantially re-built in 2012 with quality finishes & material. Numerous upgrades done from 2012 to 2018. Enjoy world class ocean views on large balconies and decks on both floors. Private backyard with views of golf course. Two water features in front and back yards. Quiet & peaceful neighbourhood. Steps to Gleneagles Golf Course & Clubhouse, neighbourhood tennis courts and beach access at the end of the cul-de-sac. Everything you want from a luxury lifestyle. You cannot find anything like this in West Vancouver at this price.","All information in this listing including measurements are approximate and must be verified by buyer if deemed important.","For Sale",,,"8/17/2018",,,,,"Freehold NonStrata",,,,,
"R2251783","Residential Detached","T","4711 PENDLEBURY ROAD","Boyd Park","138","5","2010","9,050.00","House/Single Family","Richmond","010-116-061","V7E 1E6","66.00",,,,,,,"6","R1/E","$2,990,000","0.21","Greater Vancouver","2",,,,,"8",,"604-603-8886",,,,"0","5",,,,,"Richmond","Residential Detached",,,,"137",,"8/14/2018","2","3,965","0","Concrete Perimeter","$9,015.77",,,,"Yes",,,,"8/14/2018",,"3/29/2018",,,,"2",,"4",,"$3,390,000","9/29/2018",,"BC","Finally a place to call it home. Situated at one of the most beautiful and quite street in West Richmond,  this quality built like new mansion is south facing with a private north back yard. Come to enjoy the cherry blossom. The home featured with 9000 sqft lot and almost 4000 soft five ensuite bedrooms. See to appreciate the extensive use of millwork, premium craftmanship and lighting across the house. All European s/s appliances and wok kitchen. High ceiling at living room and family room. large cozy four ensuite upstairs. Full feature media room and guest suite downstairs. Large three car garages. Well kept and shows very well.","Measured by Blue-Sketch. The unfinished area is the Garage. Shows well, book your appointment today. Noted bonus, motivated seller.","For Sale",,,"8/14/2018",,,,,"Freehold NonStrata",,,,,
"R2273704","Residential Detached","C","812 E 6TH STREET","Queensbury","78","6","2018","6,850.00","House/Single Family","North Vancouver","014-878-321","V7L 1R7","50.00",,,,,,,"7","RS1","$2,995,000","0.16","Greater Vancouver","2",,,,,"0",,"604-939-6666",,,,"2","4",,,,,"North Vancouver","Residential Detached",,,,"137",,"10/30/2018","1","4,414","960","Concrete Perimeter","$4,767.95",,,,"Yes",,,,"8/14/2018",,"5/28/2018","North Vancouver",,,"3",,"2",,"$0",,,"BC","Remarkable new home built by Taroko Dev and designed by Delgado Design Studio. Exceptional quality of construction w/over 4400 SF of space including one of the most STUNNING COACH HOMES. This thoughtfully designed & constructed 6 bed/ 7 bath home boasts west coast modern architecture married w/ an open & intelligently designed interior space w/luxury features. Radiant heating, A/C, Walnut Cabinetry, 8 ft waterfall kitchen island, high quality engineered H/W flooring & expansive European windows to capture the VIEW overlooking OCEAN & city. Upstairs offers generous sized bdrms & master retreat. Lower level has 2 bed in-law suite. Unique 2 Story COACH home is a STAND OUT, w/1000 SF of pure luxury & open views to the water.","Outstanding Quality - Laneway home + basement suite.","For Sale",,,"8/14/2018",,,,,"Freehold NonStrata",,,,,
"R2269338","Residential Detached","X","4765 CLOVELLY WALK","Caulfeild","93","3","1931","23,958.00","House/Single Family","West Vancouver","011-115-891","V7W 1H7","94.00",,,,,,,"1","RS-2","$2,998,000","0.55","Greater Vancouver","1",,,,,"87",,"604-561-5363",,,,"0","3",,,,,"West Vancouver","Residential Detached",,,,"216",,"8/16/2018","1","2,035","0","Concrete Perimeter","$6,469.74",,,,"Yes",,,,"8/17/2018",,"5/16/2018",,,,"2",,,,"$0",,,"BC","Introducing this Caulfeild Ocean View ESTATE located at 4765 Clovelly Walk. This 23,958 Square Foot SOUTH facing lot is a perfect canvas to build your dream home. This lot boasts gorgeous southern ocean views from Downtown Vancouver to UBC and beyond. It is rare to find PRIVATE ocean view lots of this size for under $4 million. Included in this sale are architectural drawings for a 7,000 square foot contemporary home designed by renowned OMB Architects. Only a half block away, 4799 Clovelly Walk achieved a selling price of $7,425,000! This is your opportunity to own an incredible building estate in West Vancouver.","More information and www.NeacsuDenner.com.  Property is being sold As-Is-Where-Is.  Call Nick for all showings at 604-561-5363.  Measurements are approximate and buyer to verify.","For Sale",,,"8/17/2018",,,,,"Freehold NonStrata",,,,,
"R2283196","Residential Detached","T","3282 W 33RD AVENUE","MacKenzie Heights","46","6","1930","7,810.20","House/Single Family","Vancouver West","011-876-166","V6N 2G9","60.00",,,,,,,"4","RS5","$2,998,000","0.18","Greater Vancouver","1",,,,,"88",,"604-726-7258",,,,"2","4",,,,,"Vancouver","Residential Detached",,,,"130.17",,"8/10/2018","3","3,059","1,059","Concrete Perimeter","$10,325.42",,,,"Yes",,,,"8/10/2018",,"6/25/2018",,,,"3",,,,"$0","11/25/2018",,"BC","Super chance!! Prime 60' x 130' land in desirable Mackenzie Heights. Approximately 3,000 sq ft living space contains 4 bedrooms upstairs and 2 bedrooms suite in basement. Spacious principal rooms with updated and renovated kitchen in the main floor. Walking distance to Dunbar shopping, community center, parks and the best schools. To sell as it is! Quick sell wanted! Priced below the BC Assessment. A MUST SEE!!  It's tenanted.  And next showing will be on Saturday at 2:00pm.  Please call for appointment.","All measurements are approximate. Buyers to verify if important. This property contains unauthorized accommodation. Tenanted, 24 hour notice needed for showing.","For Sale",,,"8/10/2018",,,,,"Freehold NonStrata",,,,,
"R2239647","Residential Detached","X","13272 21ST AVENUE","Elgin Chantrell","183","5","1993","16,291.00","House/Single Family","South Surrey White Rock","015-655-334","V4A 9N1","46.69",,,,,,,"6","RHG","$2,999,800","0.37","Fraser Valley","2",,,,,"25",,"604-764-9988","2018",,,"0","5",,,,,"Surrey","Residential Detached",,,,"IRREG",,"8/15/2018","2","5,775","937","Concrete Perimeter","$10,172.90",,,,"Yes",,"CITY OF SURREY",,"8/16/2018",,"2/14/2018","Surrey",,,"3",,"6",,"$0",,,"BC","Elgin Chantrell - Prestigious Bridlewood, Gorgeous custom built 2 str w/bstm on large 16,291 SF lot, 5 bdrm & 5 bthrm of 5,775 SF. Recently updated: new kitcn, wok-kitcn, floor tiles and fresh paint. Features: huge livingrm w/luxuly crystal chandeliers, formal dining rm, spacious sunlight gourmet kitchen w/centre island, bright eating area & great rm w/gas f/p look onto enchanting pool & garden. Upper: huge master bdrm w/6 pcs deluxe ensuite & lovely 3 bdrms plus & rec rm. Ent bsmt: large media rm w/wet bar, exercise rm &sauna. True paradise private southern backyard w/large SWIMMING POOL 20'x58', hot tub, blt-in gas BBQ. Extra parking for boat or RV. Close to all aments: park, shopping, schl: Elgin Park Second & Chantrell elemt.","Recently updated in 2018. Measurements are taken from floor plans,while thought to be accurate are not guaranteed and if important to the buyer. Seller’s welcomes all offers!","For Sale",,,"8/16/2018",,,,,"Freehold NonStrata",,,,,
"R2256505","Residential Detached","C","765 SOUTHBOROUGH DRIVE","British Properties","137","4","1956","12,200.00","House/Single Family","West Vancouver","009-676-783","V7S 1N1",,,,,,,,"3","SFD","$2,999,999","0.28","Greater Vancouver","1",,,,,"62",,"604-836-2776",,,,"0","4",,,,,"West Vancouver","Residential Detached",,,,,,"12/30/2018","2","3,143","0","Concrete Perimeter","$5,635.73",,,,"Yes",,,,"8/20/2018",,"4/5/2018",,,,"2",,"5",,"$3,100,000",,,"BC","Prestigious British Property Development Site and highly sought after  Southborough Drive address! Providing City & Ocean Views & of the Burrard Inlet! The 12,200 sq. foot approx. property calls for a new home build of your dreams & one could incorporate a new Carriage House/Accessory Studio. Bungalow walk out lower level, currently 4 beds+ 1 den/ 3 bath home, needs major RENO’S or a complete tear down! Location provides close access to top public & private schools, Collingwood, Capilano Golf Club, Hollyburn Country Club and great amenities at Park Royal, recreation facilities & minutes to West Vancouver & downtown.  By appointment only with 12-24 hours notice. Prestigious and convenient British Properties location in Vancouver.   Not to be missed!  ","Showings daily 10am to 6pm by appointment only.  Please allow 48 hours for acceptance time. Great development site in prestigious British Properties. Partial views of downtown & Burrard Inlet. Agent's open Thursday, July 12th 10-12.","For Sale",,,"8/20/2018",,,,,"Freehold NonStrata",,,,,
"R2201435","Residential Detached","X","7288 18TH AVENUE","Edmonds BE","353","6","1993","4,602.00","House/Single Family","Burnaby East","012-419-206","V3N 1H3","59.00",,,,,,,"5","R5","$3,000,000","0.11","Greater Vancouver","2",,,,,"25",,"778-881-3198",,,,"2","4",,,,,"Burnaby","Residential Detached",,,,"78.00",,"8/18/2018","2","3,055","700","Concrete Perimeter","$6,150.41",,,,"Yes",,,,"8/19/2018",,"8/31/2017",,,,"3",,"6",,"$0",,,"BC","Rare investment opportunity! Developers must see!! Potential 4 lots assembly with 27,088 sf in total right next to Kingsway with townhouses rezoning. 7280 18th ave(R2201411), 7288 18th ave (R2201435), 7296 18th ave(R2203367) and 7419 Britton St. One of the best location in convenient Burnaby East Area. Short drive to Metrotown. Walk to Highgate Mall, library, banks, Edmonds Community Center, swimming pool, Edmonds Park, shopping, skytrain station, restaurants, café and more. Walking distance to High Rank St Thomas More Collegiate Private School & OLM primary school (13 mins). The neighborhood is developing fast, call us today for details. ","Land assembly lots with Townhouses rezoning. 7280 18th ave(R2201411), 7296 18th ave(R2203367) is also for sale. All measurements are approximate. Buyers to verify if important. Property contains an unauthorized suite.","For Sale",,,"8/19/2018",,,,,"Freehold NonStrata",,,,,
"R2249679","Residential Detached","X","1921 E 2ND AVENUE","Grandview VE","150","4","1959","6,344.00","House/Single Family","Vancouver East","009-614-117","V5N 1E5","52.00",,,,,,,"2","RT5","$3,088,000","0.15","Greater Vancouver","1",,,,,"59",,"604-313-7633",,,,"1","3",,,,,"Vancouver","Residential Detached",,,,"122",,"8/15/2018","2","2,405","1,121","Concrete Perimeter","$5,900.00",,,,"Yes",,,,"8/16/2018",,"3/19/2018",,,,"2",,,,"$0",,,"BC","Location, location, location!!! Rare opportunity 3 adjoining lots with a combined size of 142x122 giving 17,324 sf (all measurements approximate). The three properties include; 1921, 1937 & 1949 2nd ave E. These properties are located within the Woodlands/Grandview community plan, allowing for excellent development potential now or to hold for future. This house is on a double city lot with back and side lane featuring 3 bedrooms up, formal dining room, and ground level entry self-contained legal suite, is a great mortgage helper. Manicured garden and private patio, makes this a must see home. Can be sold together or individually.",,"For Sale",,,"8/16/2018",,,,,"Freehold NonStrata",,,,,
"R2214062","Residential Detached","X","6038 10TH AVENUE","Big Bend","305","5","2012","44,982.00","House/Single Family","Burnaby South","011-935-391","V3N 2R2","126.00",,,,,,,"6","A2","$3,150,000","1.03","Greater Vancouver","1",,,,,"6",,"604-328-8480",,,,"0","5",,,,,"Burnaby","Residential Detached",,,,"357",,"8/10/2018","1","4,045","0","Concrete Slab","$6,556.33",,,,"Yes",,,,"8/11/2018",,"10/10/2017",,,,"3",,"14",,"$0","4/10/2018",,"BC","A gated driveway introduces this distinctive residence sited on almost 45,000 square feet (1 ACRE) in the centrally located Burnaby South area. This European, CUSTOM built home offers over 4,000 sq ft of luxurious living with no expense spared. Highlights include 5 bedrooms, 6 bathrooms, Geothermal heating/cooling, 400amp electrical service, a thoughtful floor plan perfect for multi-generational living, tons of storage options & so much more. Outside features covered outdoor living space for year round enjoyment, water features, a manicured lawn and approx. 17,000 sq ft of farm land. LOTS OF OPTIONS TO MEET YOUR FAMILY'S AND FARMING NEEDS. 7 minutes to Metrotown and 2 mins to Big Bend shopping district. A Rare Gem! ","Hobby Farm - Unique property with lots of options. Please pre-qualify your clients. Preloaded property. Measurements approx. and taken from building plans, buyer to verify if deemed important.","For Sale",,,"8/11/2018",,,,,"Freehold NonStrata",,,,,
"R2275762","Residential Detached","C","2720 COLWOOD DRIVE","Edgemont","73","6","2017","12,244.00","House/Single Family","North Vancouver","009-347-127","V7R 2R1","50.00",,,,,,,"5","RSE","$3,180,000","0.28","Greater Vancouver","2",,,,,"1",,"604-916-7140",,,,"2","4",,,,,"North Vancouver","Residential Detached",,,,"244",,"12/31/2018","2","4,801","1,594","Concrete Perimeter","$9,406.09",,,,"Yes",,,,"8/16/2018",,"6/4/2018",,,,"3",,"8",,"$3,320,000",,,"BC","This home has been completely reimagined by Maureen Dyson of Homeworks 6 bdrms & 5 bthrms showcasing quality throughout. Nestled on this special street backing on to Mosquito Creek ensuring your privacy.The main floor emphasizes a unique plan with elegant design,vaulted ceilings.An Entertainer’s kitchen equipped with Thermador&Bosch appliances,oversized island flowing onto your family room & outside covered patio.Upstairs enjoy the private master bedroom suite with walk-in closet and resort like 5 piece bathroom. 3 more separated bedrooms up. Lower level boasts a recreation rm+1/2 bedroom legal suite. Abundance of storage+landscaped flat property. The heart of Edgemont Village & close Grouse Mnt, hiking and schools.","Measurements as per Draft On Site & building plans, buyer to verify if important.  https://player.vimeo.com/video/273454161 Home has been completely renovated throughout, some of the original 1961 house remains. No GST.","For Sale",,,"8/16/2018",,,,,"Freehold NonStrata",,,,,
"R2283529","Residential Detached","C","3029 167B STREET","Grandview Surrey","53","6","2018","14,039.00","House/Single Family","South Surrey White Rock","029-675-294","V3Z 0P9","41.84",,,,,,,"7","CD","$3,198,888","0.32","Fraser Valley","3",,,,,"0",,"604-626-5005",,,,"0","6",,,,,"Surrey","Residential Detached",,,,"125x153x164",,"6/25/2019","2","6,613","0","Concrete Perimeter","$9,781.43",,,,"Yes",,"CITY OF SURREY",,"8/17/2018",,"6/25/2018","Surrey",,,"3",,,,"$0",,,"BC","Brand new executive estate located in South Surrey's prestigious April Creek Subdivision. With 5 bedrooms in addition to a 1 or 2 bedroom legal suite. Featuring soaring ceilings, custom mill-work schonbeck lighting and engineered hardwood flooring. Grand formal living and dinning room, office and bedroom on main floor. Gorgeous chef's kitchen with Sub Zero and Wolf appliances. Upper level has 4 spacious bedrooms including a master retreat with a beautiful spa- like en-suite Basement features media room, games room, wet bar and steam shower. 3 car garage with abundant driveway parking. Features Control 4, radiant heated floors, elevator, security cameras, in ground sprinkler system, premium home audio system.","Measurements have been taken from building plans, buyers or buyers agent to verify if deemed important.","For Sale",,,"8/17/2018",,,,,"Freehold NonStrata",,,,,
"R2270162","Residential Detached","X","2087 208 STREET","Brookswood Langley","93","4","1949","100,623.60","House with Acreage","Langley","007-420-480","V2Z 2A6","48.80",,,,,,,"2","SR2","$3,249,000","2.31","Fraser Valley","1",,,,,"69",,"604-513-2300",,,,"0","4",,,,,"Langley","Residential Detached",,,,"626",,"8/18/2018","1","2,150","0","Concrete Perimeter","$6,656.39",,,,"Yes",,"TOWNSHIP OF LANGLEY",,"8/19/2018",,"5/18/2018","Langley",,,"2",,"2",,"$0",,,"BC","2.3 ACRES, IN THE PLAN AND WITH NO CREEKS OR EASEMENTS! Brookswood-Fernridge prices are skyrocketing, and this may be your last chance to nab a property like this as a good price! Currently designated at detached residential for 7-10,000 sq ft lots. Solid house on the property, perfect to rent out while you wait for the fast-approaching time to develop!","PRIVACY PROTECTED - DO NO SOLICIT. All measurements are approximate and to be verified by the Buyer if important. SCHEDULE 'A' IN PARAGON DOCS MUST ACCOMPANY ALL OFFERS!","For Sale",,,"8/19/2018",,,,,"Freehold NonStrata",,,,,
